# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
rep_row_vector;(real x, int n);row_vector;350
rep_vector;(real x, int m);vector;350
rising_factorial;(real x, real n);real;330
round;(real x);real;320
row;(matrix x, int m);row_vector;351
rows;(matrix x);int;340
rows;(row_vector x);int;340
rows;(vector x);int;340
rows_dot_product;(matrix x, matrix y);vector;346
rows_dot_product;(row_vector x, row_vector y);vector;346
rows_dot_product;(vector x, vector y);vector;345
rows_dot_self;(matrix x);vector;346
rows_dot_self;(row_vector x);vector;346
rows_dot_self;(vector x);vector;346
scaled_inv_chi_square;~;real;389
scaled_inv_chi_square_ccdf_log;(reals y, reals nu, reals sigma);real;390
scaled_inv_chi_square_cdf;(reals y, reals nu, reals sigma);real;390
scaled_inv_chi_square_cdf_log;(reals y, reals nu, reals sigma);real;390
scaled_inv_chi_square_log;(reals y, reals nu, reals sigma);real;390
scaled_inv_chi_square_rng;(real nu, real sigma);real;390
sd;(matrix x);real;350
sd;(real x[]);real;334
sd;(row_vector x);real;350
sd;(vector x);real;350
segment;(T[] sv, int i, int n);T[];352
segment;(row_vector v, int i, int n);row_vector;352
segment;(vector v, int i, int n);vector;352
sin;(real x);real;322
singular_values;(matrix A);vector;358
sinh;(real x);real;323
size;(T[] x);int;336
skew_normal;~;real;381
skew_normal_ccdf_log;(reals y, reals mu, reals sigma reals alpha);real;381
skew_normal_cdf;(reals y, reals mu, reals sigma, reals alpha);real;381
skew_normal_cdf_log;(reals y, reals mu, reals sigma reals alpha);real;381
skew_normal_log;(reals y, reals mu, reals sigma, reals alpha);real;381
skew_normal_rng;(real mu, real sigma, real alpha);real;381
softmax;(vector x);vector;354
sort_asc;(int[] v);int[];338
sort_asc;(real[] v);real[];338
sort_asc;(row_vector v);row_vector;358
sort_asc;(vector v);vector;358
sort_desc;(int[] v);int[];338
sort_desc;(real[] v);real[];338
sort_desc;(row_vector v);row_vector;358
sort_desc;(vector v);vector;358
sort_indices_asc;(int[] v);int[];338
sort_indices_asc;(real[] v);int[];338
sort_indices_asc;(row_vector v);int[];358
sort_indices_asc;(vector v);int[];358
sort_indices_desc;(int[] v);int[];338
sort_indices_desc;(real[] v);int[];338
