# stan_version_major = 2
# stan_version_minor = 7
# stan_version_patch = 0
# model = gmm_diag_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta_adagrad = 0.5
#     tol_rel_obj = 0.014999999999999999
#     eval_elbo = 10
#     output_samples = 1000 (Default)
# id = 0 (Default)
# data
#   file = training.data.R
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = output_mf.csv
#   diagnostic_file = elbo_mf.csv
#   refresh = 100 (Default)
lp__,theta.1,theta.2,theta.3,mu.1.1,mu.2.1,mu.3.1,mu.1.2,mu.2.2,mu.3.2,sigma.1.1,sigma.2.1,sigma.3.1,sigma.1.2,sigma.2.2,sigma.3.2
-17806.6,0.375878,0.357054,0.267068,15.9725,-7.54735,-2.1963,16.032,4.92811,-16.6944,18.5059,9.39566,18.1107,12.4974,6.93482,16.5313
-17845.6,0.37487,0.357283,0.267847,15.6394,-7.45743,-4.80505,16.7541,4.95854,-15.9042,20.0467,9.0863,18.1602,12.4989,6.88209,16.8097
-17830.8,0.373332,0.357824,0.268843,15.7695,-7.97471,-3.34551,17.2904,5.23375,-16.3118,19.293,8.2576,18.1754,12.5397,7.19543,16.7494
-17830.8,0.37857,0.353024,0.268406,14.718,-7.69892,-3.75217,16.9848,5.12091,-15.5363,19.0962,8.80264,18.5188,12.4533,7.04294,16.5292
-17810.7,0.374937,0.355298,0.269765,15.0211,-7.19777,-2.92779,17.235,5.18042,-15.3101,19.6883,9.74208,18.1779,12.436,6.864,16.5565
-17866.7,0.377717,0.357537,0.264746,16.7978,-6.04358,-3.83528,16.8447,4.95899,-17.5261,19.4705,9.14915,17.9435,12.5895,7.21246,16.7063
-17848.9,0.377595,0.356341,0.266064,15.7139,-8.23157,-4.38582,16.806,5.05219,-15.0957,19.3663,9.69346,18.0919,12.547,7.22581,16.0832
-17843.1,0.375471,0.358322,0.266207,14.5068,-6.12652,-5.75495,15.3518,5.17102,-15.866,18.7116,7.87818,17.8651,12.4973,6.83152,17.0063
-17853.7,0.377122,0.35525,0.267627,13.4986,-7.13488,-3.29086,18.3174,4.89126,-16.3026,19.9548,8.51027,17.9304,12.4318,7.29873,16.8593
-17837.3,0.375024,0.357171,0.267806,15.0629,-6.93195,-3.63485,16.6895,4.92352,-14.0944,19.8784,9.23747,17.8086,12.6313,7.26363,16.658
