# stan_version_major = 2
# stan_version_minor = 7
# stan_version_patch = 0
# model = gmm_diag_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = training.data.R
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = output_nuts.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta.1,theta.2,theta.3,mu.1.1,mu.2.1,mu.3.1,mu.1.2,mu.2.2,mu.3.2,sigma.1.1,sigma.2.1,sigma.3.1,sigma.1.2,sigma.2.2,sigma.3.2
-50106.1,0.944226,0.0103092,8,167,0,0.334322,0.334168,0.33151,-6.98338,-3.95035,16.4507,4.51927,-16.1857,18.4941,9.31042,14.5644,12.7783,4.8665,12.2711,13.3701
-50109.3,0.946035,0.0144637,8,167,0,0.336937,0.334485,0.328578,-7.69133,-3.39989,16.5694,4.49114,-15.5007,19.8679,10.1302,14.1795,12.2929,4.60219,12.3714,12.7952
-50106.7,0.564143,0.0202921,8,155,0,0.335675,0.335659,0.328666,-7.66868,-3.24949,15.4948,4.5078,-16.7309,16.5384,8.96021,14.1062,12.683,4.73328,12.2377,14.0822
-50111.3,0.911211,0.0128679,7,127,0,0.333278,0.336727,0.329995,-7.60377,-4.93808,15.2049,4.51839,-15.2457,18.0712,9.58341,14.8726,13.0444,4.52085,12.5837,13.9523
-50107.9,0.917264,0.0167497,7,127,0,0.337255,0.334122,0.328623,-8.02355,-3.21091,15.7068,4.52762,-17.0738,17.5913,8.66608,14.547,12.172,4.66537,12.2446,13.2284
-50104.8,0.846043,0.0220109,6,55,0,0.336978,0.334012,0.32901,-7.3449,-3.47115,15.6737,4.62317,-17.1245,17.2886,9.62924,14.5887,12.6871,4.78555,11.7805,13.3598
-50104.8,0.0403063,0.0249439,3,7,0,0.336978,0.334012,0.32901,-7.3449,-3.47115,15.6737,4.62317,-17.1245,17.2886,9.62924,14.5887,12.6871,4.78555,11.7805,13.3598
-50104.8,0.986464,0.00551108,9,511,0,0.337124,0.336117,0.326759,-7.83331,-2.75297,16.0855,4.32641,-16.6334,17.5053,9.19392,14.7895,12.7633,4.70988,12.3793,13.6135
-50105.3,0.990441,0.0083354,8,255,0,0.333507,0.338051,0.328442,-7.52423,-2.58969,16.0006,4.64319,-16.554,17.4491,9.54432,14.3793,12.9129,4.63002,12.3301,13.589
-50105.9,0.987298,0.0126539,8,255,0,0.335418,0.336937,0.327644,-7.15609,-2.74556,15.7889,4.38095,-16.2003,17.7307,9.77324,14.9135,13.0561,4.63579,12.0082,13.2504
-50106,0.890329,0.0190084,7,127,0,0.335502,0.337042,0.327456,-7.68805,-3.66959,16.6662,4.6233,-15.9293,17.9882,8.81502,14.2837,12.4666,4.55742,12.6185,13.4483
-50107.2,0.51831,0.0234517,5,27,0,0.334408,0.33716,0.328432,-7.76343,-3.71314,16.6587,4.66062,-15.6785,17.8251,9.14402,15.0209,12.2783,4.85184,12.0607,13.7213
-50108.7,0.988166,0.013832,8,255,0,0.333918,0.33649,0.329592,-7.26394,-3.40512,14.5453,4.41494,-17.1878,18.0535,9.05156,14.2999,13.4764,4.27052,11.737,13.7425
-50107.1,0.157244,0.0206742,7,127,0,0.335266,0.336638,0.328096,-7.07944,-3.12028,14.6584,4.13093,-17.2426,17.9332,9.88019,14.532,13.6808,4.63159,11.9086,13.7208
-50106.6,0.994274,0.00604281,8,255,0,0.335929,0.334755,0.329316,-7.8641,-3.55656,15.1917,4.58862,-17.3882,18.4057,9.79551,14.7224,12.6181,4.57214,11.8245,12.9084
-50109.2,0.851144,0.00913868,4,15,0,0.339931,0.331552,0.328518,-7.96714,-3.56384,15.1552,4.5427,-17.3624,18.3977,8.93765,14.4128,12.837,4.6567,12.0058,14.0341
-50112.4,0.897883,0.0104265,7,127,0,0.336958,0.332661,0.330381,-7.62736,-3.44481,14.9891,3.86631,-16.6291,18.4912,9.32266,14.8817,12.4026,4.78066,13.0827,13.1863
-50112.2,0.98038,0.0130024,8,143,0,0.336581,0.332658,0.330761,-7.93843,-4.227,15.4954,4.89635,-17.0981,17.2977,8.79285,15.3022,12.8715,4.75942,12.4186,13.3468
-50111.2,0.995493,0.0189616,8,175,0,0.334965,0.334852,0.330184,-6.72654,-2.58916,17.1327,4.71599,-15.8813,20.3341,10.0273,15.0198,12.2666,4.79828,12.5704,13.4524
-50111.2,9.44501e-13,0.0283629,1,1,0,0.334965,0.334852,0.330184,-6.72654,-2.58916,17.1327,4.71599,-15.8813,20.3341,10.0273,15.0198,12.2666,4.79828,12.5704,13.4524
-50109,0.999382,0.00633917,9,511,0,0.336801,0.334502,0.328696,-7.5373,-2.46314,15.5701,4.62335,-16.7883,17.0933,9.62698,15.0555,12.8536,4.73929,12.4165,14.3112
-50107.6,0.997528,0.00956245,5,31,0,0.334992,0.336484,0.328524,-7.54702,-2.47293,15.5795,4.63984,-16.8011,17.0954,9.66087,14.883,12.905,4.62982,12.6171,13.77
-50108.5,0.821808,0.0143202,7,127,0,0.332114,0.336906,0.330979,-7.90345,-4.42082,15.9977,4.59194,-16.7271,18.3256,9.42755,14.8357,12.2308,4.83102,12.6781,13.5813
-50110.3,0.934908,0.0153537,7,111,0,0.336731,0.336388,0.326881,-8.03256,-4.73377,15.9991,4.52994,-17.1754,17.7188,9.63282,14.4807,12.3594,5.01743,11.4763,13.7173
-50106.8,0.81633,0.0203302,4,15,0,0.336984,0.333751,0.329265,-7.99923,-4.73222,15.9428,4.54784,-17.1564,17.7122,9.24434,14.4856,12.5808,4.56697,12.066,13.5416
-50107.2,0.310346,0.0215255,5,19,0,0.336825,0.33438,0.328795,-7.8654,-4.59535,15.863,4.52059,-16.8958,17.8658,9.57582,14.0351,12.3397,4.70362,12.1068,13.6557
-50108.5,0.929927,0.00890308,4,15,0,0.333995,0.336736,0.329268,-7.8894,-4.61039,15.8701,4.53469,-16.9178,17.8451,9.69032,14.3618,11.9757,4.50087,12.1397,13.6484
-50108.3,0.961756,0.0116619,5,31,0,0.333566,0.336366,0.330068,-7.73073,-4.63475,15.9272,4.53753,-16.7931,17.9494,8.79277,14.5178,12.8945,4.74412,11.9828,13.5095
-50108.1,0.951652,0.0161589,7,79,0,0.333384,0.338036,0.328579,-7.43792,-3.19537,16.2238,4.33935,-16.3055,17.2589,10.1383,14.6421,12.9995,4.63059,11.9862,13.4609
-50106.4,0.555083,0.0219169,7,79,0,0.335928,0.331395,0.332677,-7.33434,-2.6453,14.9279,4.49061,-16.9051,18.0239,9.40359,14.7174,13.0103,4.7556,11.9516,13.3749
-50108.2,0.83051,0.014374,4,15,0,0.338063,0.331959,0.329978,-7.34064,-2.65128,14.9495,4.48604,-16.8893,18.0313,9.08311,14.6629,13.241,4.79172,12.3891,13.1225
-50111.1,0.390925,0.998852,2,3,0,0.332961,0.337701,0.329338,-8.24291,-3.19186,17.4073,4.50911,-16.3747,18.2344,10.0151,14.2235,12.2071,4.63176,11.6704,13.2687
-50111.1,0,4.74772,1,1,1,0.332961,0.337701,0.329338,-8.24291,-3.19186,17.4073,4.50911,-16.3747,18.2344,10.0151,14.2235,12.2071,4.63176,11.6704,13.2687
-50110.7,1,0.577885,3,7,0,0.337643,0.335371,0.326986,-8.29033,-2.96157,16.4415,4.78788,-15.4553,18.6924,9.13756,14.5744,12.0982,4.73835,13.2368,13.2859
-50105.9,0.925424,0.678793,3,7,0,0.335433,0.337437,0.32713,-7.15717,-3.28815,16.49,4.23017,-16.3026,19.1853,9.6028,14.6236,13.0704,4.77354,11.7264,12.9759
-50110.3,0.664449,0.799889,2,3,0,0.334529,0.335974,0.329497,-7.35145,-2.67625,16.6348,4.34613,-16.4837,19.0567,9.72587,15.0062,12.4693,5.26312,11.9632,13.8022
-50110.5,0.905391,0.478434,3,7,0,0.333649,0.336218,0.330132,-7.15799,-3.09486,16.7342,4.77161,-16.0707,18.3142,9.63645,15.0883,12.7069,5.16055,12.0316,13.5932
-50109.3,0.896453,0.608641,3,7,0,0.33883,0.336814,0.324356,-8.34383,-3.82807,16.0358,4.78708,-17.2505,17.6961,9.49149,14.5381,11.9706,4.84476,12.0161,14.1433
-50110.3,0.421098,0.784498,2,3,0,0.338008,0.333387,0.328605,-8.08757,-2.39127,16.5135,4.83506,-17.2621,17.7122,9.65042,14.3099,12.3937,4.72169,12.5686,14.1759
-50109.1,0.999281,0.232691,4,15,0,0.334383,0.337572,0.328045,-7.2699,-4.57778,15.3914,4.40876,-17.3951,17.3184,9.33621,14.6351,12.5807,4.95699,11.5972,13.3202
-50111.6,0.922436,0.428735,3,7,0,0.341348,0.334561,0.324091,-7.30863,-2.13738,16.6709,4.75342,-16.7858,18.5521,9.53397,13.8582,12.5145,4.9931,12.3051,13.4526
